Category: All categories

Month,UEFA Champions League: (Worldwide)
2004-01,2
2004-02,4
2004-03,7
2004-04,5
2004-05,6
2004-06,2
2004-07,2
2004-08,4
2004-09,7
2004-10,5
2004-11,6
2004-12,6
2005-01,2
2005-02,7
2005-03,9
2005-04,8
2005-05,12
2005-06,3
2005-07,3
2005-08,6
2005-09,9
2005-10,5
2005-11,7
2005-12,7
2006-01,3
2006-02,7
2006-03,11
2006-04,12
2006-05,11
2006-06,2
2006-07,3
2006-08,7
2006-09,11
2006-10,8
2006-11,9
2006-12,9
2007-01,3
2007-02,8
2007-03,12
2007-04,15
2007-05,16
2007-06,3
2007-07,3
2007-08,8
2007-09,9
2007-10,10
2007-11,10
2007-12,9
2008-01,3
2008-02,8
2008-03,13
2008-04,16
2008-05,13
2008-06,4
2008-07,3
2008-08,7
2008-09,10
2008-10,9
2008-11,10
2008-12,8
2009-01,3
2009-02,9
2009-03,13
2009-04,17
2009-05,22
2009-06,4
2009-07,4
2009-08,10
2009-09,13
2009-10,10
2009-11,14
2009-12,11
2010-01,3
2010-02,12
2010-03,19
2010-04,21
2010-05,15
2010-06,3
2010-07,5
2010-08,11
2010-09,15
2010-10,9
2010-11,14
2010-12,12
2011-01,4
2011-02,14
2011-03,18
2011-04,24
2011-05,26
2011-06,4
2011-07,4
2011-08,11
2011-09,16
2011-10,10
2011-11,14
2011-12,14
2012-01,4
2012-02,12
2012-03,21
2012-04,26
2012-05,21
2012-06,6
2012-07,4
2012-08,10
2012-09,14
2012-10,15
2012-11,17
2012-12,15
2013-01,5
2013-02,18
2013-03,22
2013-04,34
2013-05,23
2013-06,5
2013-07,4
2013-08,12
2013-09,13
2013-10,16
2013-11,16
2013-12,16
2014-01,5
2014-02,17
2014-03,20
2014-04,36
2014-05,23
2014-06,4
2014-07,6
2014-08,14
2014-09,16
2014-10,15
2014-11,18
2014-12,16
2015-01,5
2015-02,17
2015-03,23
2015-04,27
2015-05,29
2015-06,20
2015-07,5
2015-08,15
2015-09,22
2015-10,15
2015-11,21
2015-12,19
2016-01,5
2016-02,20
2016-03,24
2016-04,38
2016-05,35
2016-06,6
2016-07,6
2016-08,12
2016-09,22
2016-10,13
2016-11,21
2016-12,18
2017-01,5
2017-02,23
2017-03,34
2017-04,39
2017-05,34
2017-06,23
2017-07,6
2017-08,16
2017-09,29
2017-10,20
2017-11,24
2017-12,26
2018-01,7
2018-02,34
2018-03,40
2018-04,63
2018-05,53
2018-06,5
2018-07,7
2018-08,19
2018-09,31
2018-10,37
2018-11,40
2018-12,34
2019-01,8
2019-02,39
2019-03,56
2019-04,61
2019-05,51
2019-06,27
2019-07,6
2019-08,19
2019-09,32
2019-10,42
2019-11,47
2019-12,36
2020-01,8
2020-02,46
2020-03,25
2020-04,5
2020-05,5
2020-06,7
2020-07,12
2020-08,100
2020-09,8
2020-10,45
2020-11,41
2020-12,55
2021-01,7
2021-02,38
2021-03,43
2021-04,62
2021-05,50
2021-06,8
2021-07,8
2021-08,21
2021-09,64
2021-10,29
2021-11,48
2021-12,39
2022-01,6
2022-02,9
